PengajuanKey,InventorKey,Peran_Inventor
1,95,Ketua Inventor
1,32,Anggota Inventor
2,82,Ketua Inventor
2,52,Anggota Inventor
3,7,Ketua Inventor
4,19,Ketua Inventor
4,30,Anggota Inventor
4,78,Anggota Inventor
5,48,Ketua Inventor
5,55,Anggota Inventor
5,65,Anggota Inventor
6,54,Ketua Inventor
7,81,Ketua Inventor
8,27,Ketua Inventor
9,96,Ketua Inventor
10,77,Ketua Inventor
10,57,Anggota Inventor
11,73,Ketua Inventor
12,19,Ketua Inventor
12,26,Anggota Inventor
12,76,Anggota Inventor
13,86,Ketua Inventor
13,30,Anggota Inventor
14,71,Ketua Inventor
15,39,Ketua Inventor
16,74,Ketua Inventor
16,47,Anggota Inventor
17,80,Ketua Inventor
17,2,Anggota Inventor
18,13,Ketua Inventor
19,63,Ketua Inventor
20,40,Ketua Inventor
21,71,Ketua Inventor
21,31,Anggota Inventor
22,35,Ketua Inventor
23,29,Ketua Inventor
23,90,Anggota Inventor
24,66,Ketua Inventor
24,86,Anggota Inventor
25,32,Ketua Inventor
25,71,Anggota Inventor
26,96,Ketua Inventor
26,55,Anggota Inventor
27,67,Ketua Inventor
28,54,Ketua Inventor
29,19,Ketua Inventor
29,89,Anggota Inventor
30,29,Ketua Inventor
31,86,Ketua Inventor
32,21,Ketua Inventor
33,87,Ketua Inventor
33,5,Anggota Inventor
33,37,Anggota Inventor
34,84,Ketua Inventor
35,37,Ketua Inventor
36,36,Ketua Inventor
37,93,Ketua Inventor
37,95,Anggota Inventor
38,49,Ketua Inventor
38,60,Anggota Inventor
38,26,Anggota Inventor
39,19,Ketua Inventor
40,54,Ketua Inventor
41,95,Ketua Inventor
42,7,Ketua Inventor
42,92,Anggota Inventor
43,27,Ketua Inventor
44,8,Ketua Inventor
44,67,Anggota Inventor
44,91,Anggota Inventor
45,28,Ketua Inventor
46,15,Ketua Inventor
47,66,Ketua Inventor
48,80,Ketua Inventor
49,44,Ketua Inventor
50,67,Ketua Inventor
51,68,Ketua Inventor
51,58,Anggota Inventor
51,51,Anggota Inventor
52,46,Ketua Inventor
53,3,Ketua Inventor
54,52,Ketua Inventor
55,23,Ketua Inventor
55,62,Anggota Inventor
56,53,Ketua Inventor
57,56,Ketua Inventor
58,33,Ketua Inventor
59,25,Ketua Inventor
60,45,Ketua Inventor
60,75,Anggota Inventor
61,3,Ketua Inventor
62,54,Ketua Inventor
62,70,Anggota Inventor
63,45,Ketua Inventor
63,16,Anggota Inventor
63,11,Anggota Inventor
64,13,Ketua Inventor
65,100,Ketua Inventor
66,23,Ketua Inventor
67,34,Ketua Inventor
68,14,Ketua Inventor
