DateKey,FullDate,MonthName,Quarter,Year
20200101,2020-01-01,January,Q1,2020
20200102,2020-01-02,January,Q1,2020
20200103,2020-01-03,January,Q1,2020
20200104,2020-01-04,January,Q1,2020
20200105,2020-01-05,January,Q1,2020
20200106,2020-01-06,January,Q1,2020
20200107,2020-01-07,January,Q1,2020
20200108,2020-01-08,January,Q1,2020
20200109,2020-01-09,January,Q1,2020
20200110,2020-01-10,January,Q1,2020
20200111,2020-01-11,January,Q1,2020
20200112,2020-01-12,January,Q1,2020
20200113,2020-01-13,January,Q1,2020
20200114,2020-01-14,January,Q1,2020
20200115,2020-01-15,January,Q1,2020
20200116,2020-01-16,January,Q1,2020
20200117,2020-01-17,January,Q1,2020
20200118,2020-01-18,January,Q1,2020
20200119,2020-01-19,January,Q1,2020
20200120,2020-01-20,January,Q1,2020
20200121,2020-01-21,January,Q1,2020
20200122,2020-01-22,January,Q1,2020
20200123,2020-01-23,January,Q1,2020
20200124,2020-01-24,January,Q1,2020
20200125,2020-01-25,January,Q1,2020
20200126,2020-01-26,January,Q1,2020
20200127,2020-01-27,January,Q1,2020
20200128,2020-01-28,January,Q1,2020
20200129,2020-01-29,January,Q1,2020
20200130,2020-01-30,January,Q1,2020
20200131,2020-01-31,January,Q1,2020
20200201,2020-02-01,February,Q1,2020
20200202,2020-02-02,February,Q1,2020
20200203,2020-02-03,February,Q1,2020
20200204,2020-02-04,February,Q1,2020
20200205,2020-02-05,February,Q1,2020
20200206,2020-02-06,February,Q1,2020
20200207,2020-02-07,February,Q1,2020
20200208,2020-02-08,February,Q1,2020
20200209,2020-02-09,February,Q1,2020
20200210,2020-02-10,February,Q1,2020
20200211,2020-02-11,February,Q1,2020
20200212,2020-02-12,February,Q1,2020
20200213,2020-02-13,February,Q1,2020
20200214,2020-02-14,February,Q1,2020
20200215,2020-02-15,February,Q1,2020
20200216,2020-02-16,February,Q1,2020
20200217,2020-02-17,February,Q1,2020
20200218,2020-02-18,February,Q1,2020
20200219,2020-02-19,February,Q1,2020
20200220,2020-02-20,February,Q1,2020
20200221,2020-02-21,February,Q1,2020
20200222,2020-02-22,February,Q1,2020
20200223,2020-02-23,February,Q1,2020
20200224,2020-02-24,February,Q1,2020
20200225,2020-02-25,February,Q1,2020
20200226,2020-02-26,February,Q1,2020
20200227,2020-02-27,February,Q1,2020
20200228,2020-02-28,February,Q1,2020
20200229,2020-02-29,February,Q1,2020
20200301,2020-03-01,March,Q1,2020
20200302,2020-03-02,March,Q1,2020
20200303,2020-03-03,March,Q1,2020
20200304,2020-03-04,March,Q1,2020
20200305,2020-03-05,March,Q1,2020
20200306,2020-03-06,March,Q1,2020
20200307,2020-03-07,March,Q1,2020
20200308,2020-03-08,March,Q1,2020
20200309,2020-03-09,March,Q1,2020
20200310,2020-03-10,March,Q1,2020
20200311,2020-03-11,March,Q1,2020
20200312,2020-03-12,March,Q1,2020
20200313,2020-03-13,March,Q1,2020
20200314,2020-03-14,March,Q1,2020
20200315,2020-03-15,March,Q1,2020
20200316,2020-03-16,March,Q1,2020
20200317,2020-03-17,March,Q1,2020
20200318,2020-03-18,March,Q1,2020
20200319,2020-03-19,March,Q1,2020
20200320,2020-03-20,March,Q1,2020
