PengajuanKey,DateKey_Daftar,DateKey_Granted,DateKey_Kadaluwarsa,JenisKIKey,StatusKey,JumlahPengajuan,BiayaPendaftaran,JumlahPaten,JumlahPatenSederhana,JumlahHakCipta
1,20241005,20250504.0,,5,5,1,500000,0,0,0
2,20250224,,,6,7,1,1500000,0,0,0
3,20221002,20231229.0,,3,5,1,1500000,0,0,1
4,20220219,,,3,3,1,500000,0,0,1
5,20240429,,,5,6,1,1500000,0,0,0
6,20200725,20210325.0,,2,5,1,2000000,0,1,0
7,20231204,20251110.0,,4,5,1,500000,0,0,0
8,20220520,20230531.0,,4,5,1,1000000,0,0,0
9,20210618,,,6,1,1,500000,0,0,0
10,20230525,,,6,8,1,1500000,0,0,0
11,20210103,,,3,2,1,500000,0,0,1
12,20210217,,,5,3,1,2000000,0,0,0
13,20230401,,,3,3,1,1500000,0,0,1
14,20220917,,,3,8,1,1500000,0,0,1
15,20230224,,,5,7,1,2000000,0,0,0
16,20251106,,,6,4,1,1000000,0,0,0
17,20230401,,,6,2,1,1500000,0,0,0
18,20251024,20261205.0,,3,5,1,1500000,0,0,1
19,20220918,,,4,2,1,1000000,0,0,0
20,20200901,,,3,6,1,500000,0,0,1
21,20230705,,,5,3,1,500000,0,0,0
22,20210719,20220613.0,,6,5,1,1500000,0,0,0
23,20240323,,,4,4,1,500000,0,0,0
24,20230901,,,3,3,1,1500000,0,0,1
25,20240206,,,4,2,1,2000000,0,0,0
26,20240414,,,1,6,1,1500000,1,0,0
27,20200624,20210812.0,,3,5,1,1500000,0,0,1
28,20230714,,,1,1,1,500000,1,0,0
29,20230202,,,1,6,1,2000000,1,0,0
30,20240806,,,3,2,1,1500000,0,0,1
31,20240317,,,2,8,1,1000000,0,1,0
32,20210829,,,5,6,1,1000000,0,0,0
33,20240504,,,2,1,1,1000000,0,1,0
34,20220113,,,5,8,1,500000,0,0,0
35,20220422,,,1,3,1,2000000,1,0,0
36,20240525,,,4,2,1,1000000,0,0,0
37,20230611,,,5,6,1,500000,0,0,0
38,20200813,20220310.0,,4,5,1,1000000,0,0,0
39,20231024,,,2,8,1,500000,0,1,0
40,20200120,20210511.0,,2,5,1,500000,0,1,0
41,20221127,,,1,2,1,1000000,1,0,0
42,20240121,,,2,7,1,1500000,0,1,0
43,20200119,,,1,6,1,2000000,1,0,0
44,20220429,,,4,8,1,2000000,0,0,0
45,20250618,,,2,6,1,2000000,0,1,0
46,20250309,,,4,6,1,500000,0,0,0
47,20251118,,,6,3,1,500000,0,0,0
48,20230419,,,5,1,1,1500000,0,0,0
49,20231009,,,1,1,1,1500000,1,0,0
50,20210612,,,1,2,1,500000,1,0,0
51,20220214,,,4,4,1,2000000,0,0,0
52,20251002,,,2,3,1,2000000,0,1,0
53,20250326,,,4,7,1,500000,0,0,0
54,20241027,,,6,7,1,1500000,0,0,0
55,20250325,,,4,6,1,1500000,0,0,0
56,20200320,,,4,1,1,500000,0,0,0
57,20220316,,,5,6,1,1000000,0,0,0
58,20220824,20230418.0,,2,5,1,2000000,0,1,0
59,20230408,,,2,7,1,2000000,0,1,0
60,20220209,,,4,6,1,1000000,0,0,0
61,20211115,,,3,8,1,1000000,0,0,1
62,20200710,,,4,7,1,500000,0,0,0
63,20211216,,,4,7,1,1000000,0,0,0
64,20230727,,,3,6,1,500000,0,0,1
65,20210824,,,4,1,1,500000,0,0,0
66,20201129,,,5,3,1,2000000,0,0,0
67,20210909,,,2,2,1,2000000,0,1,0
68,20221004,,,4,2,1,1500000,0,0,0
69,20200712,20220314.0,,2,5,1,2000000,0,1,0
70,20220715,,,5,7,1,1000000,0,0,0
71,20240607,,,5,4,1,500000,0,0,0
72,20240711,,,6,8,1,2000000,0,0,0
73,20210627,20230303.0,,4,5,1,1500000,0,0,0
74,20201116,,,2,8,1,1500000,0,1,0
75,20210415,,,5,8,1,500000,0,0,0
76,20230111,,,2,7,1,2000000,0,1,0
77,20250729,,,3,1,1,1000000,0,0,1
78,20210728,,,1,3,1,1500000,1,0,0
79,20230419,,,3,6,1,500000,0,0,1
80,20200409,,,2,7,1,1000000,0,1,0
81,20220202,,,2,6,1,500000,0,1,0
82,20250927,,,4,2,1,1500000,0,0,0
83,20200221,,,2,2,1,1000000,0,1,0
84,20230129,,,1,6,1,1000000,1,0,0
85,20240129,,,5,4,1,500000,0,0,0
86,20220227,20240109.0,,5,5,1,1000000,0,0,0
87,20210409,,,6,6,1,500000,0,0,0
88,20210413,,,6,6,1,1500000,0,0,0
89,20200604,,,1,4,1,500000,1,0,0
90,20210823,,,3,4,1,500000,0,0,1
91,20220323,,,2,1,1,500000,0,1,0
92,20240521,,,1,2,1,1500000,1,0,0
93,20221129,,,5,6,1,1500000,0,0,0
94,20220530,,,4,7,1,2000000,0,0,0
95,20240814,,,2,4,1,500000,0,1,0
96,20220629,,,2,4,1,2000000,0,1,0
97,20201009,,,3,4,1,1500000,0,0,1
98,20210602,,,2,4,1,2000000,0,1,0
99,20211124,,,5,2,1,500000,0,0,0
100,20230909,,,2,2,1,2000000,0,1,0
101,20220130,,,2,8,1,500000,0,1,0
102,20220404,,,6,2,1,500000,0,0,0
103,20220207,,,1,1,1,1000000,1,0,0
104,20200821,,,3,6,1,500000,0,0,1
105,20241101,,,2,7,1,1000000,0,1,0
106,20211217,20230607.0,,6,5,1,1000000,0,0,0
107,20250403,,,3,4,1,2000000,0,0,1
108,20210531,,,3,2,1,1000000,0,0,1
109,20240112,,,1,1,1,2000000,1,0,0
110,20231221,,,5,2,1,1000000,0,0,0
111,20251105,20261118.0,,6,5,1,2000000,0,0,0
112,20210604,,,6,4,1,1000000,0,0,0
113,20220218,,,1,3,1,1000000,1,0,0
114,20210804,20221127.0,,3,5,1,500000,0,0,1
115,20200510,,,6,2,1,1500000,0,0,0
116,20220417,20230830.0,,2,5,1,500000,0,1,0
